iter	RMSE
0	1.236897494
1	1.210975099
2	1.185937997
3	1.161769385
4	1.138410344
5	1.115873387
6	1.094103263
7	1.072238604
8	1.051137011
9	1.031531031
10	1.011775775
11	0.9927248764
12	0.9749770185
13	0.956110433
14	0.9387589731
15	0.9226247649
16	0.9053009896
17	0.8892039797
18	0.8744981603
19	0.8586563776
20	0.8439837948
21	0.8308921027
22	0.8165615305
23	0.8024291834
24	0.7884542268
25	0.775641337
26	0.7624341595
27	0.7496172368
28	0.7373358694
29	0.7251930696
30	0.7139408199
31	0.7023803726
32	0.6913461889
33	0.6804120847
34	0.6698179842
35	0.6594605506
36	0.6498458273
37	0.6402310634
38	0.6306243347
39	0.6213014266
40	0.6124909918
41	0.6036837913
42	0.5951323936
43	0.5869132968
44	0.5787326919
45	0.5710539903
46	0.5635285508
47	0.5563787031
48	0.5489219495
49	0.542040769
50	0.5355137881
51	0.5287651217
52	0.5215250891
53	0.5153962239
54	0.508979503
55	0.5032227614
56	0.4960812902
57	0.4892251335
58	0.4838358098
59	0.4773670805
60	0.4723143458
61	0.4668951276
62	0.460990611
63	0.4562625951
64	0.4506990221
65	0.4468375617
66	0.4423498279
67	0.4381020962
68	0.4328897948
69	0.4285213115
70	0.4229678102
71	0.4195944504
72	0.4162501223
73	0.4130165876
74	0.4091100264
75	0.4059973276
76	0.4014984456
77	0.3965645192
78	0.3931554079
79	0.389834346
80	0.3852111802
81	0.3820981635
82	0.3790591129
83	0.3753264387
84	0.3724767953
85	0.3696791288
86	0.366341398
87	0.3636979806
88	0.3613328731
89	0.3574146533
90	0.3550306337
91	0.3513151712
92	0.348509099
93	0.3463732995
94	0.3438431115
95	0.3414760429
96	0.3380979543
97	0.3356006409
98	0.3332616955
99	0.3303260005
100	0.3281047253
101	0.3249959476
102	0.3221621142
103	0.3200547589
104	0.3171038208
105	0.3141885301
106	0.3113884665
107	0.3093903864
108	0.3067953645
109	0.3045702448
110	0.3024473577
111	0.3005831607
112	0.2982721226
113	0.2962075272
114	0.2937241656
115	0.2915470604
116	0.2896523831
117	0.2874171488
118	0.2857376783
119	0.2837615266
120	0.2815548886
121	0.2795463684
122	0.2780340608
123	0.2760795148
124	0.2744327704
125	0.2726842361
126	0.2712120876
127	0.2695436826
128	0.2676850954
129	0.2659562346
130	0.2645028815
131	0.2627928434
132	0.2614778445
133	0.2594867773
134	0.2577815979
135	0.2563995025
136	0.2548297616
137	0.2535001005
138	0.2520652631
139	0.2509391404
140	0.2496213673
141	0.2480373168
142	0.2462435161
143	0.2450699516
144	0.2437659756
145	0.2426470796
146	0.2415316202
147	0.2400570584
148	0.2390248946
149	0.2378395629
150	0.2364438393
151	0.235244717
152	0.2338493158
153	0.2322162407
154	0.2308694531
155	0.2297407541
156	0.2284561714
157	0.2273664904
158	0.2261242474
159	0.2250748632
160	0.2239618001
161	0.2227546702
162	0.2217263329
163	0.2205081955
164	0.219278223
165	0.2181599741
166	0.21711482
167	0.2160863483
168	0.2150857042
169	0.2139665312
