iter	Passed	Remaining
0	1	252
1	2	201
2	3	169
3	3	154
4	4	144
5	5	138
6	5	134
7	6	129
8	7	127
9	7	124
10	8	122
11	9	125
12	10	123
13	10	121
14	11	120
15	12	118
16	12	116
17	13	115
18	14	115
19	15	116
20	16	116
21	17	114
22	17	113
23	18	111
24	19	110
25	19	109
26	20	108
27	21	108
28	22	108
29	23	107
30	23	106
31	24	105
32	27	112
33	27	111
34	29	112
35	30	113
36	32	117
37	33	117
38	34	116
39	36	117
40	37	117
41	39	121
42	41	121
43	42	121
44	45	125
45	47	127
46	49	130
47	52	134
48	55	136
49	57	137
50	58	136
51	61	138
52	61	136
53	62	134
54	65	136
55	67	138
56	68	136
57	70	135
58	72	136
59	73	134
60	76	136
61	78	136
62	79	135
63	81	135
64	83	134
65	84	132
66	85	130
67	85	128
68	86	127
69	87	125
70	89	125
71	92	125
72	94	125
73	95	124
74	99	126
75	102	126
76	104	126
77	108	127
78	110	126
79	112	126
80	115	126
81	116	124
82	117	122
83	119	122
84	120	120
85	123	120
86	124	118
87	126	118
88	127	116
89	130	115
90	131	113
91	131	111
92	132	109
93	134	108
94	134	106
95	136	105
96	139	104
97	141	104
98	142	102
99	143	100
100	144	98
101	146	97
102	149	97
103	150	95
104	153	95
105	155	93
106	158	93
107	158	91
108	160	89
109	160	87
110	161	85
111	164	85
112	166	84
113	169	83
114	170	81
115	173	80
116	173	78
117	174	77
118	176	75
119	178	74
120	180	72
121	180	71
122	181	69
123	184	68
124	186	67
125	187	65
126	188	63
127	190	62
128	191	60
129	192	59
130	193	57
131	194	55
132	195	54
133	198	53
134	200	52
135	202	50
136	205	49
137	207	48
138	209	46
139	210	45
140	212	43
141	214	42
142	216	40
143	218	39
144	220	37
145	222	36
146	224	35
147	227	33
148	230	32
149	233	31
150	236	29
151	238	28
152	240	26
153	241	25
154	242	23
155	245	22
156	247	20
157	248	18
158	249	17
159	250	15
160	251	14
161	253	12
162	255	10
163	257	9
164	258	7
165	260	6
166	262	4
167	263	3
168	265	1
169	267	0
